technique_id,name,is_subtechnique,platforms,detection_strategies,analytic_count,analytic_platforms,log_sources,data_components
T1021.005,VNC,Yes,Linux; Windows; macOS,DET0178,3,Linux; Windows; macOS,NSM:Flow | NSM:firewall | WinEventLog:Security | WinEventLog:Sysmon | auditd:EXECVE | linux:syslog | macos:osquery | macos:unifiedlog,Logon Session Creation | Logon Session Metadata | Network Traffic Flow | Process Creation
T1021.006,Windows Remote Management,Yes,Windows,DET0477,1,Windows,NSM:Connections | WinEventLog:Security | WinEventLog:Sysmon | WinEventLog:WinRM,Logon Session Creation | Network Traffic Flow | Process Creation | Service Metadata
T1021.007,Cloud Services,Yes,IaaS; Identity Provider; Office Suite; SaaS,DET0008,4,IaaS; Identity Provider; Office Suite; SaaS,AWS:CloudTrail | Okta:SystemLog | gcp:audit | m365:unified | saas:auth,Command Execution | File Access | Logon Session Creation
T1021.008,Direct Cloud VM Connections,Yes,IaaS,DET0211,1,IaaS,AWS:CloudTrail | WinEventLog:Sysmon,Logon Session Creation | Process Creation
T1025,Data from Removable Media,No,Linux; Windows; macOS,DET0511,3,Linux; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | WinEventLog:System | auditd:SYSCALL | fs:fsusage | journald:systemd | macos:osquery | macos:unifiedlog,Drive Creation | File Access | Process Creation
T1027,Obfuscated Files or Information,No,ESXi; Linux; Network Devices; Windows; macOS,DET0378,5,ESXi; Linux; Network Devices; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | esxi:hostd | esxi:vmkernel | linux:cli | macos:osquery | macos:unifiedlog | networkdevice:IDS,Command Execution | File Creation | File Metadata | File Modification | Network Traffic Content | OS API Execution | Process Creation
T1027.001,Binary Padding,Yes,Linux; Windows; macOS,DET0553,3,Linux; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | fs:fsusage | linux:osquery | macos:unifiedlog,File Access | File Creation | Process Creation
T1027.002,Software Packing,Yes,Linux; Windows; macOS,DET0023,3,Linux; Windows; macOS,WinEventLog:Sysmon | auditd:SYSCALL | macos:endpointsecurity | macos:unifiedlog,Process Access | Process Creation | Process Modification
T1027.003,Steganography,Yes,Linux; Windows; macOS,DET0119,3,Linux; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | macos:osquery | macos:unifiedlog,File Access | Network Connection Creation | Process Creation
T1027.004,Compile After Delivery,Yes,Linux; Windows; macOS,DET0501,3,Linux; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | macos:osquery | macos:unifiedlog,File Creation | Network Connection Creation | Process Creation
T1027.005,Indicator Removal from Tools,Yes,Linux; Windows; macOS,DET0189,3,Linux; Windows; macOS,EDR:detection | WinEventLog:Application | WinEventLog:Sysmon | auditd:SYSCALL | linux:osquery | macos:osquery | macos:unifiedlog,Application Log Content | File Creation | File Metadata | Process Creation | Process Modification
T1027.006,HTML Smuggling,Yes,Linux; Windows; macOS,DET0313,3,Linux; Windows; macOS,EDR:detection | Network Traffic | WinEventLog:Sysmon | auditd:SYSCALL | gatekeeper/quarantine database | linux:osquery | macos:osquery | macos:unifiedlog,File Creation | File Metadata | Network Traffic Content | Process Creation
T1027.007,Dynamic API Resolution,Yes,Windows,DET0091,1,Windows,WinEventLog:Sysmon | etw:Microsoft-Windows-Kernel-Process,Module Load | OS API Execution | Process Creation
T1027.008,Stripped Payloads,Yes,Linux; Network Devices; Windows; macOS,DET0019,4,Linux; Network Devices; Windows; macOS,EDR:file | NSM:Flow | WinEventLog:Sysmon | auditd:EXECVE | auditd:SYSCALL | linux:osquery | macos:endpointsecurity | macos:osquery | macos:unifiedlog,File Creation | File Metadata | File Modification | Network Traffic Content | Process Creation
T1027.009,Embedded Payloads,Yes,Linux; Windows; macOS,DET0214,3,Linux; Windows; macOS,EDR:file | WinEventLog:Sysmon | auditd:SYSCALL | ebpf:syscalls | linux:osquery | macos:endpointsecurity | macos:osquery | macos:unifiedlog,File Access | File Creation | File Metadata | File Modification | Process Creation
T1027.010,Command Obfuscation,Yes,Linux; Windows; macOS,DET0505,3,Linux; Windows; macOS,WinEventLog:Security | auditd:SYSCALL | linux:osquery | macos:endpointsecurity | macos:unifiedlog,Command Execution | Process Creation
T1027.011,Fileless Storage,Yes,Linux; Windows,DET0344,2,Linux; Windows,WinEventLog:Application | WinEventLog:Security | auditd:SYSCALL | linux:osquery,File Creation | File Metadata | WMI Creation | Windows Registry Key Modification
T1027.012,LNK Icon Smuggling,Yes,Windows,DET0405,1,Windows,WinEventLog:Sysmon,File Metadata | Network Connection Creation | Process Creation
T1027.013,Encrypted/Encoded File,Yes,Linux; Windows; macOS,DET0087,3,Linux; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | linux:Sysmon | macos:endpointsecurity | macos:unifiedlog,Command Execution | Module Load | Network Connection Creation | Process Access | Process Creation | Process Modification
T1027.014,Polymorphic Code,Yes,Linux; Windows; macOS,DET0324,3,Linux; Windows; macOS,WinEventLog:Sysmon | auditd:SYSCALL | fs:fsusage | macos:endpointsecurity | macos:unifiedlog,File Creation | File Modification | Module Load | Process Access | Process Creation | Process Metadata | Process Modification
T1027.015,Compression,Yes,Linux; Windows; macOS,DET0281,3,Linux; Windows; macOS,WinEventLog:Sysmon | auditd:SYSCALL | fs:fsusage | macos:unifiedlog,File Access | File Creation | File Metadata | File Modification | Process Creation
T1027.016,Junk Code Insertion,Yes,Linux; Windows; macOS,DET0322,3,Linux; Windows; macOS,WinEventLog:Sysmon | auditd:SYSCALL | macos:endpointsecurity,File Creation | Process Access | Process Creation | Process Modification
T1027.017,SVG Smuggling,Yes,Linux; Windows; macOS,DET0510,3,Linux; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | macos:endpointsecurity | macos:unifiedlog,File Creation | File Modification | Network Connection Creation | Network Traffic Content | Process Creation
T1027.018,Invisible Unicode,Yes,Linux; Windows; macOS,DET0920,3,Linux; Windows; macOS,NSM:Flow | WinEventLog:PowerShell | WinEventLog:Security | WinEventLog:Sysmon | auditd:EXECVE | auditd:SYSCALL | macOS:unifiedlog | macos:unifiedlog,Command Execution | File Access | File Creation | File Metadata | Module Load | Network Connection Creation | Process Creation | Script Execution
T1029,Scheduled Transfer,No,Linux; Windows; macOS,DET0399,3,Linux; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | WinEventLog:System | auditd:SYSCALL | linux:cron | macos:endpointsecurity | macos:launchd | macos:unifiedlog,Network Connection Creation | Network Traffic Flow | Process Creation | Scheduled Job Metadata
T1030,Data Transfer Size Limits,No,ESXi; Linux; Windows; macOS,DET0213,3,Linux; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | macos:endpointsecurity | macos:unifiedlog,Network Connection Creation | Network Traffic Flow
T1033,System Owner/User Discovery,No,Linux; Network Devices; Windows; macOS,DET0093,4,Linux; Network Devices; Windows; macOS,WinEventLog:PowerShell | WinEventLog:Sysmon | auditd:SYSCALL | macos:endpointsecurity | macos:unifiedlog | networkdevice:syslog,Command Execution | OS API Execution | Process Creation
T1036,Masquerading,No,Containers; ESXi; Linux; Windows; macOS,DET0127,5,Containers; ESXi; Linux; Windows; macOS,WinEventLog:Sysmon | WinEventLog:System | auditd:SYSCALL | containerd:runtime | docker:events | ebpf:syscalls | esxi:hostd | esxi:shell | fs:fileevents | linux:osquery | linux:syslog | macos:endpointsecurity | macos:unifiedlog,Command Execution | File Metadata | File Modification | Image Metadata | Process Creation | Process Metadata | Service Creation | Service Metadata
T1036.001,Invalid Code Signature,Yes,Windows; macOS,DET0031,2,Windows; macOS,WinEventLog:PowerShell | WinEventLog:Sysmon | WinEventLog:Windows Defender | fs:fileevents | macos:endpointsecurity | macos:unifiedlog,Command Execution | File Metadata | File Modification | Process Creation
T1036.002,Right-to-Left Override,Yes,Linux; Windows; macOS,DET0527,3,Linux; Windows; macOS,WinEventLog:PowerShell | WinEventLog:Sysmon | WinEventLog:Windows Defender | auditd:SYSCALL | desktop:file_manager | fs:quarantine | linux:osquery | macos:endpointsecurity | macos:unifiedlog,Command Execution | File Access | File Metadata | Process Creation
T1036.003,Rename Legitimate Utilities,Yes,Linux; Windows; macOS,DET0005,3,Linux; Windows; macOS,EDR:AMSI | WinEventLog:Sysmon | auditd:SYSCALL | fs:fileevents | linux:osquery | linux:syslog | macos:endpointsecurity | macos:unifiedlog,Command Execution | File Creation | File Metadata | File Modification | Process Creation | Process Metadata
T1036.004,Masquerade Task or Service,Yes,Linux; Windows; macOS,DET0117,3,Linux; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | WinEventLog:System | auditd:CONFIG_CHANGE | fs:fileevents | linux:cron | linux:osquery | macos:endpointsecurity | macos:unifiedlog,Process Creation | Scheduled Job Creation | Scheduled Job Metadata | Scheduled Job Modification | Service Creation | Service Metadata
T1036.005,Match Legitimate Resource Name or Location,Yes,Containers; ESXi; Linux; Windows; macOS,DET0347,5,Containers; ESXi; Linux; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | containerd:events | esxi:hostd | esxi:vmkernel | fs:fsusage | kubernetes:apiserver | linux:osquery | macos:unifiedlog,File Access | File Creation | File Metadata | Image Metadata | Module Load | Process Creation | Process Metadata | Process Modification | Scheduled Job Creation | Service Metadata
T1036.006,Space after Filename,Yes,Linux; macOS,DET0292,2,Linux; macOS,auditd:SYSCALL | fs:fsusage | linux:syslog | macos:unifiedlog,File Access | File Metadata | Process Creation
T1036.007,Double File Extension,Yes,Windows,DET0366,1,Windows,WinEventLog:Sysmon,File Creation | Process Creation
T1036.008,Masquerade File Type,Yes,Linux; Windows; macOS,DET0226,3,Linux; Windows; macOS,WinEventLog:Sysmon | auditd:SYSCALL | linux:osquery | macos:unifiedlog,File Creation | File Metadata | Process Creation
T1036.009,Break Process Trees,Yes,Linux; macOS,DET0443,2,Linux; macOS,auditd:SYSCALL | fs:fsusage | macos:unifiedlog,OS API Execution | Process Creation
T1036.010,Masquerade Account Name,Yes,Containers; IaaS; Identity Provider; Linux; Office Suite; SaaS; Windows; macOS,DET0383,4,Containers; Identity Provider; Linux; Windows,WinEventLog:Security | auditd:SYSCALL | azure:audit | docker:daemon | linux:osquery | saas:okta | windows:osquery,User Account Creation | User Account Metadata | User Account Modification
T1036.011,Overwrite Process Arguments,Yes,Linux,DET0164,1,Linux,auditd:SYSCALL | ebpf:tracepoints,Process Metadata | Process Modification
T1036.012,Browser Fingerprint,Yes,Linux; Windows; macOS,DET0898,3,Linux; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | etw:Microsoft-Windows-Kernel-Process | macos:unifiedlog,Network Connection Creation | Network Traffic Content | OS API Execution | Process Creation
T1037,Boot or Logon Initialization Scripts,No,ESXi; Linux; Network Devices; Windows; macOS,DET0112,5,ESXi; Linux; Network Devices; Windows; macOS,WinEventLog:Security | WinEventLog:TaskScheduler | auditd:PATH | auditd:SYSCALL | esxi:hostd | esxi:vmkernel | fs:fsusage | linux:osquery | macos:osquery | macos:unifiedlog | networkdevice:syslog,File Access | File Metadata | File Modification | Process Creation | Scheduled Job Creation | Script Execution | Service Metadata | Windows Registry Key Modification
T1037.001,Logon Script (Windows),Yes,Windows,DET0072,1,Windows,WinEventLog:Security | WinEventLog:System,File Access | Logon Session Creation | Process Creation | Script Execution
T1037.002,Login Hook,Yes,macOS,DET0244,1,macOS,fs:plist | macos:unifiedlog,File Modification | Process Creation
T1037.003,Network Logon Script,Yes,Windows,DET0367,1,Windows,WinEventLog:Security | WinEventLog:System,Network Share Access | Process Creation | Script Execution
T1037.004,RC Scripts,Yes,ESXi; Linux; Network Devices; macOS,DET0237,4,ESXi; Linux; Network Devices; macOS,auditd:SYSCALL | esxi:shell | esxi:syslog | fs:fsusage | linux:syslog | macos:unifiedlog | networkdevice:syslog,Command Execution | File Creation | File Modification | Process Creation | Script Execution
T1037.005,Startup Items,Yes,macOS,DET0429,1,macOS,macos:fsevents | macos:unifiedlog,File Creation | Process Creation
T1039,Data from Network Shared Drive,No,Linux; Windows; macOS,DET0410,3,Linux; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | fs:fsusage | linux:syslog | macos:unifiedlog,Drive Access | File Access | File Creation | Network Share Access
T1040,Network Sniffing,No,IaaS; Linux; Network Devices; Windows; macOS,DET0314,5,IaaS; Linux; Network Devices; Windows; macOS,AWS:CloudTrail | WinEventLog:Security | WinEventLog:System | auditd:SYSCALL | fs:fsusage | macos:osquery | macos:unifiedlog | networkconfig  | networkdevice:syslog,Cloud Service Modification | Command Execution | Network Traffic Content | Process Creation | Service Creation | User Account Authentication
T1041,Exfiltration Over C2 Channel,No,ESXi; Linux; Windows; macOS,DET0348,4,ESXi; Linux; Windows; macOS,NSM:Flow | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | esxi:syslog | esxi:vmkernel | esxi:vpxa | macos:osquery | macos:unifiedlog,File Access | Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation
T1046,Network Service Discovery,No,Containers; IaaS; Linux; Network Devices; Windows; macOS,DET0376,4,Containers; Linux; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | containerd:runtime | ebpf:syscalls | macos:osquery | macos:unifiedlog,Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation
T1047,Windows Management Instrumentation,No,Windows,DET0364,1,Windows,WinEventLog:Sysmon | WinEventLog:WMI,Network Connection Creation | Process Creation | WMI Creation
T1048,Exfiltration Over Alternative Protocol,No,ESXi; IaaS; Linux; Network Devices; Office Suite; SaaS; Windows; macOS,DET0131,5,ESXi; IaaS; Linux; Windows; macOS,AWS:CloudTrail | AWS:VPCFlowLogs | NSM:Flow | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | esxi:hostd | esxi:vmkernel | macos:osquery | macos:unifiedlog,Cloud Storage Access | Command Execution | File Access | File Creation | File Modification | Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,Yes,ESXi; Linux; Windows; macOS,DET0503,4,ESXi; Linux; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | esxi:hostd | esxi:vmkernel | macos:osquery | macos:unifiedlog,Command Execution | Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Yes,ESXi; Linux; Windows; macOS,DET0512,4,ESXi; Linux; Windows; macOS,NSM:Flow | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | esxi:hostd | esxi:vmkernel | macos:osquery | macos:unifiedlog,Command Execution | File Access | Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,Yes,ESXi; Linux; Network Devices; Windows; macOS,DET0149,5,ESXi; Linux; Network Devices; Windows; macOS,NSM:Flow | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | esxi:hostd | macos:osquery | macos:unifiedlog | networkdevice:cli | networkdevice:syslog,Command Execution | File Access | Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation
T1049,System Network Connections Discovery,No,ESXi; IaaS; Linux; Network Devices; Windows; macOS,DET0320,6,ESXi; IaaS; Linux; Network Devices; Windows; macOS,AWS:CloudTrail | WinEventLog:PowerShell | WinEventLog:Sysmon | auditd:SYSCALL | azure:activity | esxi:hostd | linux:cli | macos:osquery | networkdevice:cli | snmp:trap,Command Execution | Network Traffic Content | OS API Execution | Process Creation
T1052,Exfiltration Over Physical Medium,No,Linux; Windows; macOS,DET0123,3,Linux; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | WinEventLog:System | auditd:SYSCALL | fs:fsusage | macos:osquery | macos:unifiedlog,Command Execution | Drive Creation | File Access | File Creation | Process Creation
T1052.001,Exfiltration over USB,Yes,Linux; Windows; macOS,DET0220,3,Linux; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | WinEventLog:System | auditd:SYSCALL | fs:fsusage | macos:osquery | macos:unifiedlog,Drive Creation | File Access | File Creation | Process Creation
T1053,Scheduled Task/Job,No,Containers; ESXi; Linux; Network Devices; Windows; macOS,DET0094,5,Containers; ESXi; Linux; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | containerd:runtime | esxi:cron | esxi:hostd | esxi:vmkernel | fs:fsusage | linux:osquery | macos:osquery | macos:unifiedlog,Command Execution | File Creation | File Modification | Process Creation | Scheduled Job Creation
T1053.002,At,Yes,Linux; Windows; macOS,DET0333,3,Linux; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | fs:fsusage | macos:osquery | macos:unifiedlog,Command Execution | File Modification | Process Creation | Scheduled Job Creation
T1053.003,Cron,Yes,ESXi; Linux; macOS,DET0290,3,ESXi; Linux; macOS,auditd:SYSCALL | esxi:cron | esxi:hostd | esxi:vmkernel | fs:fsusage | macos:unifiedlog,File Modification | Process Creation | Scheduled Job Creation
T1053.005,Scheduled Task,Yes,Windows,DET0441,1,Windows,WinEventLog:Security | WinEventLog:Sysmon,File Creation | Process Creation | Scheduled Job Creation | Scheduled Job Modification | Windows Registry Key Modification
T1053.006,Systemd Timers,Yes,Linux,DET0231,1,Linux,auditd:SYSCALL | linux:osquery,File Creation | Process Creation | Scheduled Job Creation
T1053.007,Container Orchestration Job,Yes,Containers,DET0206,1,Containers,container:proxy | kubernetes:apiserver | kubernetes:events,Container Creation | Network Traffic Content | Scheduled Job Creation
T1055,Process Injection,No,Linux; Windows; macOS,DET0508,3,Linux; Windows; macOS,WinEventLog:Sysmon | auditd:SYSCALL | etw:Microsoft-Windows-Kernel-Process | linux:procfs | macos:endpointsecurity | macos:syslog | macos:unifiedlog,File Access | Module Load | OS API Execution | Process Access | Process Creation | Process Metadata | Process Modification
T1055.001,Dynamic-link Library Injection,Yes,Windows,DET0389,1,Windows,WinEventLog:Sysmon,Module Load | Named Pipe Metadata | Process Access | Process Creation
T1055.002,Portable Executable Injection,Yes,Windows,DET0106,1,Windows,WinEventLog:Sysmon,File Creation | Process Access | Process Creation | Process Modification
T1055.003,Thread Execution Hijacking,Yes,Windows,DET0295,1,Windows,WinEventLog:Sysmon | etw:Microsoft-Windows-Kernel-Process,OS API Execution | Process Access | Process Creation | Process Modification
T1055.004,Asynchronous Procedure Call,Yes,Windows,DET0100,1,Windows,WinEventLog:Sysmon | etw:Microsoft-Windows-Kernel-Process,OS API Execution | Process Access | Process Creation | Process Modification
T1055.005,Thread Local Storage,Yes,Windows,DET0467,1,Windows,EDR:memory | WinEventLog:Sysmon,Module Load | OS API Execution | Process Access | Process Modification
T1055.008,Ptrace System Calls,Yes,Linux,DET0203,1,Linux,auditd:SYSCALL | linux:osquery,OS API Execution | Process Creation | Process Metadata
T1055.009,Proc Memory,Yes,Linux,DET0541,1,Linux,auditd:SYSCALL | linux:osquery,File Access | File Modification | OS API Execution
T1055.011,Extra Window Memory Injection,Yes,Windows,DET0217,1,Windows,WinEventLog:Security | WinEventLog:Sysmon | etw:Microsoft-Windows-Win32k,OS API Execution | Process Access | Process Creation
T1055.012,Process Hollowing,Yes,Windows,DET0382,1,Windows,WinEventLog:Sysmon | etw:Microsoft-Windows-Kernel-Process,OS API Execution | Process Access | Process Creation | Process Modification
T1055.013,Process Doppelgänging,Yes,Windows,DET0544,1,Windows,WinEventLog:Sysmon | etw:Microsoft-Windows-Kernel-Process,File Creation | OS API Execution | Process Access | Process Creation
